811	But [climate scientists] say that aspects of the case of Hurricane Harvey—and the recent history of tropical cyclones worldwide—suggest global warming is making a bad situation worse.
812	The human contribution can be up to 30 percent or so of the total rainfall coming out of the storm
814	Global Ocean Circulation Appears To Be Collapsing Due To A Warming Planet
815	Evidence is growing that the comparatively cold zone within the Northern Atlantic could be due to a slowdown of this global ocean water circulation.
816	While geologists have studied events in the past similar to what appears to be happening today, scientists are largely unsure of what lies ahead.
817	Scientists have long known about the anomalous ‘warming hole‘ in the North Atlantic Ocean, an area immune to warming of Earth’s oceans.
818	“Carbon dioxide hurts nobody’s health.
819	Climate change need not endanger anyone”
820	“Healthy societies do not fall apart over slow, widely predicted, relatively small economic adjustments of the sort painted by climate analysis.
821	Societies do fall apart from war, disease or chaos.
822	Climate policy must compete with other long-term threats for always-scarce resources.”
823	’Extremely remarkable’ 2017 heads toward record for hottest year without an El Niño episode.
824	So it’s been a surprise to climate scientists that 2017 has been so remarkably warm — because the last El Niño ended a year ago.
826	The latest NOAA report is “a reminder that climate change has not, despite the insistence of climate contrarians ‘paused’ or even slowed down,” Mann said..
828	Famine, economic collapse, a sun that cooks us: What climate change could wreak — sooner than you think.
830	parts of the Earth will likely become close to uninhabitable
832	Or the news from Antarctica this past May, when a crack in an ice shelf grew 11 miles in six days, then kept going; the break now has just three miles to go — by the time you read this, it may already have met the open water, where it will drop into the sea one of the biggest icebergs ever, a process known poetically as ‘calving.’
839	“Even if we meet the Paris goals of two degrees warming, cities like Karachi and Kolkata will become close to uninhabitable, annually encountering deadly heat waves like those that crippled them in 2015.
840	At four degrees, the deadly European heat wave of 2003, which killed as many as 2,000 people a day, will be a normal summer.
846	In other words, we have, trapped in Arctic permafrost, twice as much carbon as is currently wrecking the atmosphere of the planet, all of it scheduled to be released at a date that keeps getting moved up, partially in the form of a gas that multiplies its warming power 86 times over.
847	“The IPCC reports also don’t fully account for the albedo effect (less ice means less reflected and more absorbed sunlight, hence more warming); more cloud cover (which traps heat); or the dieback of forests and other flora (which extract carbon from the atmosphere).
849	The most notorious was 252 million years ago; it began when carbon warmed the planet by five degrees, accelerated when that warming triggered the release of methane in the Arctic, and ended with 97 percent of all life on Earth dead.”
851	The last time the planet was even four degrees warmer, Peter Brannen points out in The Ends of the World, his new history of the planet’s major extinction events, the oceans were hundreds of feet higher.
855	Which means that if the planet is five degrees warmer at the end of the century, we may have as many as 50 percent more people to feed and 50 percent less grain to give them.”
856	as the pathbreaking work by Rosamond Naylor and David Battisti has shown, the tropics are already too hot to efficiently grow grain, and those places where grain is produced today are already at optimal growing temperature — which means even a small warming will push them down the slope of declining productivity.
859	By 2080, without dramatic reductions in emissions, southern Europe will be in permanent extreme drought, much worse than the American dust bowl ever was.
861	None of these places, which today supply much of the world’s food, will be reliable sources of any.
862	In the sugarcane region of El Salvador, as much as one-fifth of the population has chronic kidney disease, including over a quarter of the men, the presumed result of dehydration from working the fields they were able to comfortably harvest as recently as two decades ago.
863	The warmer the planet gets, the more ozone forms, and by mid-century, Americans will likely suffer a 70 percent increase in unhealthy ozone smog, the National Center for Atmospheric Research has projected.
864	“[Carbon dioxide] just crossed 400 parts per million, and high-end estimates extrapolating from current trends suggest it will hit 1,000 ppm by 2100.
868	In Alaska, already, researchers have discovered remnants of the 1918 flu that infected as many as 500 million and killed as many as 100 million”
871	“As it happens, Zika may also be a good model of the second worrying effect — disease mutation.
880	The peer-reviewed study by two scientists and a veteran statistician looked at the global average temperature datasets[…]
888	the mild warming of around 0.8 degrees Celsius that the planet has experienced since the middle of the 19th century
889	“Several of the papers note that the primary influence on warming appears to be solar activity.
892	Despite recent attempts to paint the United States as a major global polluter, according to the World Health Organization (WHO), the U.S. is among the cleanest nations on the planet.
893	While France and other G7 countries lamented the U.S. exit from the Paris climate accord, America’s air is already cleaner than that of any other country in the G7, except Canada with its scant population.
896	According to the WHO, exposure to particulate matter increases the risk of acute lower respiratory infection, chronic obstructive pulmonary disease, heart disease, stroke and lung cancer.
897	The report […] found that the United States was one of the most pollution-free nations in the world.”
901	CO2 is colorless, odorless and completely non-toxic.
903	Growers regularly pump CO2 into greenhouses, raising levels to three times that of the natural environment, to produce stronger, greener, healthier plants.”
904	Without human intervention, the concentration of CO2 has climbed as high as 7,000 parts per million (ppm) in prior eras, whereas at present the concentration is just over 400 ppm.
905	“Some experts, such as UN climate scientist Dr. Indur Goklany, have defended rising CO2 levels as a good thing for humanity.
906	Goklany has argued that the rising level of carbon dioxide in the earth’s atmosphere ‘is currently net beneficial for both humanity and the biosphere generally.”
909	Meeting the 2025 emissions reduction target alone could subtract $250 billion from our GDP and eliminate 2.7 million jobs.
910	The cement, iron and steel, and petroleum refining industries could see their production cut by 21% 19%, and 11% respectively.”
914	The Clean Power Plan, a major component of fulfilling the agreement, would spike energy costs for working and middle-class Texans by 16% by 2030, according to the Economic Reliability Council of Texas
916	The acceleration is making some scientists fear that Antarctica’s ice sheet may have entered the early stages of an unstoppable disintegration.
917	Because the collapse of vulnerable parts of the ice sheet could raise the sea level dramatically, the continued existence of the world’s great coastal cities — Miami, New York, Shanghai and many more — is tied to Antarctica’s fate.
919	an airplane is contributing to the emissions that put the frozen continent at risk.
920	If those emissions continue unchecked and the world is allowed to heat up enough, scientists have no doubt that large parts of Antarctica will melt into the sea.
925	About 120,000 years ago, before the last ice age, the planet went through a natural warm period, with temperatures similar to those expected in coming decades.
926	The sea level was 20 to 30 feet higher than it is today, implying that the ice sheets in both Greenland and Antarctica must have partly disintegrated, a warning of what could occur in the relatively near future if the heating of the planet continues unchecked.”
930	“Right now, the shelf works like a giant bottle-stopper that slows down ice trying to flow from the land into the sea.
932	The most vulnerable parts of the West Antarctic ice sheet could raise the sea level by 10 to 15 feet, inundating many of the world’s coastal cities, though most scientists think that would take well over a century, or perhaps longer.
935	The winds around the continent seem to be strengthening, stirring the ocean and bringing up a layer of warmer water that has most likely been there for centuries.
938	We’re not sure because we don’t have enough data, for long enough, to separate signal from noise,” said Eric J. Steig, a scientist at the University of Washington who has studied temperature trends in Antarctica.
939	“Recent computer forecasts suggest that if greenhouse gas emissions continue at a high level, parts of Antarctica could break up rapidly, causing the ocean to rise six feet or more by the end of this century.
942	‘We could be decades too fast, or decades too slow,’said one of them, Robert M. DeConto of the University of Massachusetts, Amherst.
945	In their worst-case scenario, the sea level could rise by six feet by the end of this century, and the pace could pick up drastically in the 22nd century.
948	In a study last year, Robert M. DeConto of the University of Massachusetts, Amherst, and David Pollard of Pennsylvania State University used their computer model to predict what would happen if emissions were reduced sharply over the next few decades, in line with international climate goals.
949	Under the most ambitious scenarios, they found a strong likelihood that Antarctica would remain fairly stable.”
952	The Alaskan tundra is warming so quickly it has become a net emitter of carbon dioxide ahead of schedule, a new study finds
954	Melting permafrost can release not just CO2, but also methane, a much stronger heat-trapping gas.
956	Data from NOAA’s Barrow Alaska station ‘indicate that October through December emissions of CO2 from surrounding tundra increased by 73 percent since 1975, supporting the view that rising temperatures have made Arctic ecosystems a net source of CO2.’”
957	ever since December temperatures in the Arctic have consistently been lower than minus 20 C
960	This means the global temperature trend has now shown no further warming for 19 years
962	In April the extent of Arctic sea ice was back to where it was in April 13 years ago
967	He said: ‘We have had five warming cycles since about 900AD, each followed by a dramatic cooling cycle.’
971	Sea ice has diminished much faster than scientists and climate models anticipated.
972	“Arctic land stores about twice as much carbon as the atmosphere.
976	The gas builds up in the soil, forming mounds called ‘pingoes.’
978	The extreme cycles of dry and wet weather appear to have been intensifying over the last three decades.
979	“Warm weather worsened the most recent five-year drought, which included the driest four-year period on record in terms of statewide precipitation.
982	Not everyone is convinced that the evidence is in that climate change is responsible for extreme swings between drought and deluge.
983	‘The dry periods are drier and the wet periods are wetter,’ said Jeffrey Mount, a water expert and senior fellow at the Public Policy Institute of California.
988	The unlikely scenarios are now, all of a sudden, becoming more probable than they once were thought to be,’ says Sweet.”
990	many of south Florida’s drainage systems and seawalls are no longer enough
991	“Sea level rise is global.
993	While there has been a mean rise of a little more than 3mm per year worldwide since the 1990s, in the last decade, the NOAA Virginia Key tide gauge just south of Miami Beach has measured a 9mm rise annually.”
994	says Sweet, who has authored several sea-level rise studies.
995	“The Northern Hemisphere jet stream […] flow is stronger when that temperature difference is large.
996	But when the Arctic warms up faster than the equator does […] the jet stream’s flow can become weakened and elongated.
997	Ever since 2012, scientists have been debating a complex and frankly explosive idea about how a warming planet will alter our weather — one that, if it’s correct, would have profound implications across the Northern Hemisphere and especially in its middle latitudes
1001	‘This study goes beyond statistical correlations and explores a specific process that can plausibly explain how enhanced high-latitude warming trends may trigger remote weather impacts,’ he said.
1003	A recent study in Nature Geoscience, for instance, called into question whether the Arctic’s melting, and in particular its sea ice loss, has been causing winter cooling over Eurasia, another idea that has been swept up in the debate over the jet stream and weather extremes.”
1007	‘With levels of carbon dioxide in the atmosphere consistently breaking new records, the influence of human activities on the climate system has become more and more evident,’ said Taalas.
1009	‘Arctic ice conditions have been tracking at record low conditions since October, persisting for six consecutive months’
1010	“‘The Arctic may be remote, but changes that occur there directly affect us.
1011	The melting of the Greenland ice sheet is already contributing significantly to sea level rise, and new research is highlighting that the melting of Arctic sea ice can alter weather conditions across Europe, Asia and North America.’”
1013	Global sea level rise surged between November 2014 and February 2016, with the El Niño event helping the oceans rise by 15mm.
1014	Final data for 2016 sea level rise have yet to be published.
1017	Our children and grandchildren will look back on the climate deniers and ask how they could have sacrificed the planet for the sake of cheap fossil fuel energy, when the cost of inaction exceeds the cost of a transition to a low-carbon economy,’ Watson said.
1019	An additional kick was supplied by an El Niño weather pattern that peaked in 2016 and temporarily warmed much of the surface of the planet, causing the hottest year in a historical record dating to 1880.
1020	“The global reef crisis does not necessarily mean extinction for coral species.
1021	The corals may save themselves, as many other creatures are attempting to do, by moving toward the poles as the Earth warms, establishing new reefs in cooler water.”
1022	If water temperatures stay moderate, the damaged sections of the Great Barrier Reef may be covered with corals again in as few as 10 or 15 years
1023	Within a decade, certain kinds of branching and plate coral could be extinct, reef scientists say, along with a variety of small fish that rely on them for protection from predators.
1024	“CO2 is certainly a heat-trapping greenhouse gas, but hardly the primary one: Water vapor accounts for about 95 percent of greenhouse gases.
1028	A second coat of paint has much less of an effect, while adding a third or fourth coat has almost no impact at all.”
1034	Your odds of correctly guessing the outcome of a flipped coin are 1 in 2, but your odds of guessing correctly twice in a row are only 1 in 4 —
1038	(Multiplying .95 by itself 15 times yields 46.3 percent.)”
1040	While evidence that the earth’s orbital variations impact radiation levels and thus global temperatures does not of course mean that man is not in some way impacting the climate, studies like these highlight that the role man plays on the planet is dwarfed by natural phenomena utterly out of our control.
1048	While transient weather variability is playing a key role here, the widespread record warmth across the U.S. so far this year is part of a long-term trend toward more warm temperature records versus cold ones.
1049	So far this month, there have been nearly 5,000 daily record highs set or tied, compared to just 42 daily record lows.
1050	In Albany, New York, the high temperature of 74 degrees on Thursday was the warmest temperature on record for any day during the months of December, January and February.
1052	But as that upper layer warms up, the oxygen-rich waters are less likely to mix down into cooler layers of the ocean because the warm waters are less dense and do not sink as readily.
1055	They do not make a definitive attribution statement, but the data are consistent with and strongly suggestive of human-driven warming as a root cause of the oxygen decline.’”
1056	Because oxygen in the global ocean is not evenly distributed, the 2 percent overall decline means there is a much larger decline in some areas of the ocean than others.
1057	“Moreover, the ocean already contains so-called oxygen minimum zones, generally found in the middle depths.
1061	warmer oceans have also begun to destabilize glaciers in Greenland and Antarctica
1065	However, this is exactly what climate scientists have predicted for California since at least the 1980s: protracted periods of warm, dry conditions punctuated by intense wet spells, with more rain and less snow, causing both drought and floods.
1066	[…] in fact this pattern is already emerging, with the conditions that create extremely warm dry years and extremely wet years both becoming more frequent.
1067	“In an old climate, … extremely warm years were less common and snowpack was more reliable …
1069	“There is now less sea ice on Earth than at any time on record.
1073	The amount of summer sea ice in the Arctic has steadily declined over the past few decades because of man-made global warming, according to the National Oceanic and Atmospheric Administration.
1075	“At the bottom of the world, sea ice is also at all-time record low levels around Antarctica, the data center said.
1077	Antarctic ice fluctuates wildly year to year, and the link to man-made global warming there is not clear, NASA ice expert Walt Meier said.
1078	“[Sea ice] also helps regulate the planet’s temperature by influencing the circulation of the atmosphere and ocean.
1079	“ NASA concurred with NOAA, also declaring 2016 the warmest year on record in its own data set that tracks the temperatures at the surface of the planet’s land and oceans, and expressing ‘greater than 95 percent certainty’ in that conclusion.
1082	“But the differences between NOAA and NASA aren’t that significant, Schmidt further argued, in the context of the bigger picture.
1083	‘Getting hung up on the exact nature of the records is interesting, and there’s lots of technical work that can be done there, but the main take-home response there is that the trends we’ve been seeing since the 1970s are continuing and have not paused in any way,’ he said.”
1084	[Jonathan Overpeck:] ‘No doubt about it anymore — humans, mainly by burning fossil fuels, are cooking the planet,’ Overpeck said.
1087	The particular signature of warming in 2016 was also revealing in another way, Overpeck said, noting that the stratosphere… saw record cold temperatures last year
1088	‘We don’t expect record years every year, but the ongoing long-term warming trend is clear.’”
1089	Last year’s warmth was manifested across the planet, from the warm tropical ocean waters off the coast of northeastern Australia, where the Great Barrier Reef experienced its worst coral bleaching event on record and large scale coral death, to the Arctic, where sea ice hit regular monthly record lows and overall temperatures were also the warmest on record, at least from January through September 2016.
1090	Extreme high temperatures were seen from India — where the city of Phalodi recorded temperatures of 51 degrees Celsius (123.8 Fahrenheit) in May, a new national record — to Iran, where a temperature of 53 degrees Celsius (127.4 F) was recorded in Delhoran on July 22.
1092	But then, just over a year ago, Mike Wallace, a hydrologist with 30 years’ experience, noticed while researching his PhD that they had omitted some key information[…] his results were surprising: there has been no reduction in oceanic pH
1093	Ocean acidification is the terrifying threat whereby all that man-made CO2 we’ve been pumping into the atmosphere may react with the sea to form a sort of giant acid bath.
1097	“[…]The impact on calcification, metabolism, growth, fertility and survival of calcifying marine species when pH is lowered up to 0.3 units […] is beneficial, not damaging.
1098	Marine life has nothing whatsoever to fear from ocean acidification.”
1103	[ocean acidification was ] First referenced in a peer-reviewed study in Nature in 2003
1108	There was, he said, an ‘inherent bias’ in scientific journals which predisposed them to publish ‘doom and gloom stories’.
1109	“The chain of events that links the melting Arctic with weather to the south begins with rising global temperatures causing more sea ice to melt.
1112	“The jet stream forms a boundary between the cold north and the warmer south, but the lower temperature difference means the winds are now weaker.
1113	This means the jet stream meanders more, with big loops bringing warm air to the frozen north and cold air into warmer southern climes.”
1115	This “blocking” effect means extreme events can unfold.”
1116	Severe ‘snowmageddon’ winters are now strongly linked to soaring polar temperatures, say researchers, with deadly summer heatwaves and torrential floods also probably linked.
1119	Prof Adam Scaife, a climate modelling expert at the UK’s Met Office, said the evidence for a link to shrinking Arctic ice was now good: ‘The consensus points towards that being a real effect.’”
1120	The connection between the vanishing Arctic ice and extreme summer weather in the northern hemisphere is probable, according to scientists, but not yet as certain as the winter link.
1121	Another consequence of the fast melting Arctic raises the possibility that there may be even worse extreme weather to come, according to a few scientists: titanic Atlantic superstorms and hurricanes barreling across Europe.
1127	This means it is possible that by some yardsticks, 2016 will be declared as hot as 2015 or even slightly hotter – because El Nino did not vanish until the middle of the year.
1130	The record warm years of 2015 and 2016 were primarily caused by the super El Nino.’”
1133	Global average temperatures over land have plummeted by more than 1C since the middle of this year – their biggest and steepest fall on record.
1135	Scientists confirm a mass bleaching event on the Great Barrier Reef this year has killed more corals than ever before, with more than two thirds destroyed across large swathes of the biodiverse site.
1136	When water temperatures become too high, coral becomes stressed and expels the algae, which leave the coral a bleached white color.
1138	Stress from unusually warm ocean water heated by man-made climate change and the natural El Niño climate pattern caused the die-off.
1139	Mass coral bleaching is a new phenomenon and was never observed before the 1980s as global warming ramped up.
1141	“While record low sea ice is nothing new in the Arctic, this is a surprising turn of events for the Antarctic.
1142	Even as sea ice in the Arctic has seen a rapid and consistent decline over the past decade, its counterpart in the Southern Hemisphere has seen its extent increasing.”
1143	Skeptics have long pointed to ice gain in the Southern Hemisphere as evidence climate change wasn’t occurring, but scientists warned that it was caused by natural variations and circulations in the atmosphere.
1144	It “certainly puts the kibosh on everyone saying that Antarctica’s ice is just going up and up,” Meier said.
1145	For what appears to be the first time since scientists began keeping track, sea ice in the Arctic and the Antarctic are at record lows this time of year.
1146	“It’s far too early to tell if what we are seeing in the Arctic, and now the Antarctic, is a sharp shift towards warmer poles with less ice.
1149	Temperatures in the Arctic have soared recently, and scientists are struggling to explain exactly why.
1150	To make matters worse, the water temperatures in the Arctic Ocean are several degrees above average, which is an expected result of having less sea ice.
1151	“Unlike genuine pollutants, carbon dioxide (CO2) is an odorless, colorless gas.
1154	[CO2] is also a greenhouse gas which helps maintain earth at a habitable temperature.
1155	But observations, such as those on our CO2 Coalition website, show that increased CO2 levels over the next century will cause modest and beneficial warming—perhaps as much as one degree Celsius (1.8 degrees Fahrenheit)
1156	The costs of emissions regulations, which will be paid by everyone, will be punishingly high and will provide no benefits to most people anywhere in the world.
1157	“In 2013 the level of U.S. farm output was about 2.7 times its 1948 level, and productivity was growing at an average annual rate of 1.52%.
1160	With more CO2 in the atmosphere, the challenge [feeding 2.5 billion more people] can and will be met.
1163	“Global warming and climate change, even if it is 100% caused by humans, is so slow that it cannot be observed by anyone in their lifetime.
1164	Hurricanes, tornadoes, floods, droughts and other natural disasters have yet to show any obvious long-term change.”
1166	Drought in the western U.S. pales in comparison to the mega-droughts tree rings tell us existed in centuries past.
1167	Lake-bottom sediments in Florida tell us that recent major hurricane activity in the Gulf of Mexico has been less frequent than in centuries past.
1169	“Sea level rise, which was occurring long before humans could be blamed, has not accelerated and still amounts to only 1 inch every ten years.
1170	If a major hurricane is approaching with a predicted storm surge of 10-14 feet, are you really going to worry about a sea level rise of 1 inch per decade?”
1171	If Hillary would have fact-checked her example of sea level rise in Norfolk, Virginia, she would have found out that the experts already know this is mostly due to the land there sinking.
1173	[…]until we develop a practical, cost-competitive alternative to fossil fuels, it is unlikely that renewable energy will ever make up more than 15-20% of global energy requirements.
1175	But the observed warming as monitored by satellites (our only truly global monitoring system) has been only about half of what computerized climate models say should be happening.
1178	“The most famous of these studies, published in 2010 by Paul Kench and Arthur Webb of the South Pacific Applied Geoscience Commission in Fiji, showed that of 27 Pacific islands, 14% lost area.
1180	“It seems self-evident that rising sea levels will reduce land area.
1181	However, there is a process of accretion, where coral broken up by the waves washes up on these low-lying islands as sand, counteracting the reduction in land mass.
1183	“suggest that residents are fleeing atolls swiftly sinking into the sea.
1186	President Hilda Heine has told reporters that longtime residents are leaving the Marshall Islands because climate change is threatening the nation’s existence.”
1188	Policy makers who want to help the residents of the Marshall Islands today should look at improving the islands’ resilience
1198	” ‘You see, gas in America is incredibly cheap, because of fracking,’ he says.
1202	The discrepancy between model-predicted warming and (lower) real-world observations has inspired new respect for natural climate variability relative to greenhouse-gas forcing.
1204	Back in the late 1980s, the UN claimed that if global warming were not checked by 2000, rising sea levels would wash entire counties away.
1205	“In 2009, then-British Prime Minister Gordon Brown predicted that the world had only 50 days to save the planet from global warming.
1211	“climate economists see a positive externality, not a negative one, from the human influence on climate.
1212	(In technical lingo, the so-called social cost of carbon would be negative.)”
1216	…obsessing about climate change is avoiding a frank discussion about the here-and-now problems of budget deficits, the federal debt, school choice, entitlement reform, and so on.
1219	Global warming is driving major melting on the surface of Greenland’s glaciers and is speeding up their travel into the sea.”
1222	The melting Greenland ice sheet is already a major contributor to rising sea level and if it was eventually lost entirely, the oceans would rise by six metres around the world, flooding many of the world’s largest cities.
1223	Ice cap is disappearing far more rapidly than previously estimated, and is part of a long-term trend, new research shows
1224	“Federal scientists have documented a sharp jump in this nuisance flooding — often called ‘sunny-day flooding’ — along both the East Coast and the Gulf Coast in recent years.
1227	These tidal floods are often just a foot or two deep, but they can stop traffic, swamp basements, damage cars, kill lawns and forests, and poison wells with salt.
1230	On the Pacific Coast, a climate pattern that had pushed billions of gallons of water toward Asia is now ending, so that in coming decades the sea is likely to rise quickly off states like Oregon and California.
1235	“During ice ages, caused by wobbles in the Earth’s orbit, sea levels dropped more than 400 feet as ice piled up on land.
1237	the last sea-level high point, … occurred between the last two ice ages, about 125,000 years ago.
1239	Through decades of research, it has become clear that human civilization, roughly 6,000 years old, developed during an unusually stable period for global sea levels.
1240	“Ice-free means the central basin of the Arctic will be ice-free
1243	by that I mean the central Arctic will be ice-free.
1245	There will still be about a million square kilometres of ice in the Arctic in summer
1246	Most people expect this year will see a record low in the Arctic’s summer sea-ice cover.
1247	People tend to think of an ice-free Arctic in summer in terms of it merely being a symbol of global change.
1251	“Underneath the permafrost there are sediments full of methane hydrates.
1253	“The most recent prediction of the Intergovernmental Panel on Climate Change (IPCC) is that seas will rise by 60 to 90 centimetres this century.
1255	the first scientists to show that the thick icecap that once covered the Arctic ocean was beginning to thin and shrink.
1256	‘Next year or the year after, the Arctic will be free of ice’
1257	“as surface temperatures of the oceans warm up, the immediate response is more water vapor in the atmosphere.
1259	While the north-east, midwest and upper great plains have experienced a 30% increase in heavy rainfall episodes – considered once-in-every-five year downpours – parts of the west, particularly California, have been parched by drought.
1260	The contrast in precipitation between wet and dry regions and between wet and dry seasons will increase, although there may be regional exceptions.
1265	Some, however, bristle at the belief that because floods and storms have always occurred, they should not be linked to climate change”
1266	This means that the world is now 1C warmer than it was in pre-industrial times
1268	The thermal expansion of the oceans, compounded by melting glaciers, resulted in the highest global sea level on record in 2015.
1269	“The oceans, which absorb more than 90% of the extra CO2 pumped into the atmosphere“
1270	The world’s alpine glaciers recorded a net annual loss of ice for the 36th consecutive year and the Greenland ice sheet … experienced melting over more than 50% of its surface.
1271	Greenland ice sheet … would balloon sea levels by around 7m should it disintegrate
1273	The rapid changes in the climate may have profound consequences for humans and other species… Severe drought caused food shortages for millions of people in Ethiopia, with a lack of rainfall resulting in “intense and widespread” forest fires in Indonesia that belched out a vast quantity of greenhouse gas
1276	“Typically, in such an attribution study, scientists will use sets of climate models — one set including the factors that drive human global warming and the other including purely “natural” factors — and see if an event like the one in question is more likely to occur in the first set of models.
1279	“Earlier this month, NASA scientists provided a visualization of a startling climate change trend — the Earth is getting greener, as viewed from space, especially in its rapidly warming northern regions.
1284	It is clear, then, that greening is emerging as a factor with the potential to blunt some of the worst impacts of human greenhouse gas emissions.
1286	Arctic greening was recently cited, in a major report by the U.S. Geological Survey, as the central reason that the state of Alaska, despite worsening wildfires and more thaw of permafrost, might still be able to stow away more carbon than it loses over the course of the 21st century.”
1292	Any reasonable person can recognize both positives and negatives among the policy proposals of both Tories and Labour.
1293	Over time, climate becomes a net problem: by the 2070s, the UN Climate Panel finds that global warming will likely cause damage equivalent to 0.2 per cent to 2 per cent of global GDP.
1294	“Because CO₂ acts as a fertilizer, as much as half of all vegetated land is persistently greener today.
1296	precipitation from global warming will make the world much greener
1299	A recent Nature study expecting more severe hurricanes from global warming still found that damages would halve from 0.04 per cent to 0.02 per cent of global GDP, because the increased ferocity would be more than made up by increased prosperity and resilience.
1300	“Yet, a new study of 60 climate models and scenarios shows this warning fails to take into account the fact that global warming will mean precipitation increases.
1303	No one ever says it, but in many ways global warming will be a good thing
1304	in a letter to The Times from Lord Krebs and company, essentially telling the newspaper to stop reporting less-than-negative climate stories.
1305	The projection that much of the Great Barrier Reef could perish within the next few decades could turn out to be too pessimistic, since other research has shown that some species of corals are surprisingly resilient to the stress from changing ocean temperatures.
1307	a new study by scientists at the Australian Research Council finds that the ongoing bleaching event is mainly due to human-caused global warming, and that if global warming proceeds as currently expected, “large parts” of the Great Barrier Reef could die by the mid-2030s.
1308	Great Barrier Reef may perish by 2030s
1310	It has occurred during the warmest year on record, which occurred in 2015, and the two most unusually mild months on Earth, which took place in January and February, respectively.”
1312	A World Heritage site, it is currently under assault from unusually hot ocean temperatures,”
1313	Coral bleaching has devastated 93% of the Great Barrier Reef
1314	Higher temperatures, we’re told, will be deadly—killing “thousands to tens of thousands” of Americans
1315	cold kills many more people than heat.
1316	In pushing too hard for the case that global warming is universally bad for everything, the administration’s report undermines the reasonable case for climate action.
1317	“…climate change will also reduce the number of cold days and cold spells.
1322	The report confidently claims that when temperatures rise, “the reduction in premature deaths from cold are expected to be smaller than the increase in deaths from heat in the United States.
1324	cold deaths actually occur during moderate temperatures
1325	“The Lancet researchers found that about 0.5%—half a percent—of all deaths are associated with heat, not only from acute problems like heat stroke, but also increased mortality from cardiac events and dehydration.
1326	But more than 7% of deaths are related to cold—counting hypothermia, as well as increased blood pressure and risk of heart attack that results when the body restricts blood flow in response to frigid temperatures.”
1327	Migration patterns show people heading for warm states like Texas and Florida, not snowy Minnesota and Michigan.”
1331	More than half of the 44 studies selected for publication found that raised levels of CO2 had little or no impact on marine life, including crabs, limpets, sea urchins and sponges
1333	“The oceans will never become acid because there is such a huge buffering capacity in the oceans.
1334	We simply could never release enough CO2 into the atmosphere to cause the pH to go below 7 [the point in the pH scale at which a solution becomes acidic].”
1339	“Dr Browman, a marine scientist for 35 years, said he was not saying that ocean acidification posed no threat, but that he believed that “a higher level of academic scepticism” should be applied to the topic.
1342	The worsening of tidal flooding in American coastal communities is largely a consequence of greenhouse gases from human activity, and the problem will grow far worse in coming decades, scientists reported Monday.
1343	roughly three-quarters of the tidal flood days now occurring in towns along the East Coast would not be happening in the absence of the rise in the sea level caused by human emissions.
1347	Scientists say the recent climate agreement negotiated in Paris is not remotely ambitious enough to forestall a significant melting of Greenland and Antarctica, though if fully implemented, it may slow the pace somewhat.”
1350	Until last June, most scientists acknowledged that warming reached a peak in the late 1990s
1351	a marginally significant warming trend in the data over the past several years, erasing the temperature plateau that vexed climate alarmists have found difficult to explain.
1353	Temperatures in 1999 were nearly three-tenths of a degree lower than in 1998, and a similar change should occur this time around, though it might not fit so neatly into a calendar year.
1354	Often the compensatory cooling, known as La Niña, is larger than the El Niño warming.”
1357	“The notion that world-wide weather is becoming more extreme is just that: a notion, or a testable hypothesis.
1360	In fact, the trend, while not statistically significant, is downward.”
1362	Forget what global warming activists would lead you to believe—2015 was not even close to the hottest year on record.
1365	Satellite temperature readings going back to 1979 show 1998 was by far the warmest year in the satellite era
1367	But we do have other reliable indicators of temperatures before the late 1800s, and the evidence shows temperatures have been warmer than today for most of the past several thousand years, including warmer-than-present temperatures for most of the human civilization time period
1369	“With a record El Niño, we should have experienced record high temperatures.
1372	The strong El Niño has continued into 2016, raising the possibility that this year will, yet again, set a global temperature record
1374	world temperatures, because they have gone up only very slowly, less than half as fast as the scientific consensus predicted in 1990
1375	the world is barely half a degree Celsius (0.9 degrees Fahrenheit) warmer than it was about 35 years ago
1376	Also, it is increasingly clear that the planet was significantly warmer than today several times during the past 10,000 years.
1377	there has been no increase in frequency or intensity of storms, floods or droughts, while deaths attributed to such natural disasters have never been fewer
1378	Antarctica is gaining land-based ice, according to a new study by NASA scientists published in the Journal of Glaciology
1381	It projects that temperatures are likely to be anything from 1.5 to 4.5 degrees Celsius (2.7 to 8.1 degrees Fahrenheit) warmer by the latter part of the century
1383	a new study by a leading climate economist, Richard Tol of the University of Sussex, concludes that warming may well bring gains, because carbon dioxide causes crops and wild ecosystems to grow greener and more drought-resistant.
1384	A key study published in the Journal of Climate this year by Bjorn Stevens of the Max Planck Institute for Meteorology in Hamburg, Germany, found that the cooling impact of sulfate emissions has held back global warming less than thought till now
1386	“Global warming alarmists’ preferred electricity source – wind power – kills nearly 1 million bats every year (to say nothing of the more than 500,000 birds killed every year) in the United States alone.
1387	[…] Killing 30 million bats every year in response to dubious claims that global warming might once in a great while kill 100,000 bats makes no sense.”
1389	If global warming caused the 2014 Queensland heat wave, why wasn’t it as severe as the 1972 Queensland heat wave?”
1390	“Lyme Disease is much more common in northern, cooler regions of the United States than in southern, warmer regions.
1394	U.S. Forest Service data show pine beetle infestations have recently declined dramatically throughout the western United States.
1395	Severe storms, floods and agricultural losses may cost a great deal of money, but such extreme weather events—and their resulting costs—are dramatically declining as the Earth modestly warms.
